module	condition	p	direction	sig
1	STAT3_KO	2.18423765819771e-09	up	TRUE
1	STAT3_KO	29.999999997816	down	FALSE
2	STAT3_KO	6.64437356136082e-88	up	TRUE
2	STAT3_KO	30	down	FALSE
3	STAT3_KO	30	up	FALSE
3	STAT3_KO	7.47709990973784e-56	down	TRUE
4	STAT3_KO	29.7980773608608	up	FALSE
4	STAT3_KO	0.201938199273889	down	FALSE
5	STAT3_KO	9.1602848662436	up	FALSE
5	STAT3_KO	20.8399858734132	down	FALSE
6	STAT3_KO	29.9999957750326	up	FALSE
6	STAT3_KO	4.22561246208472e-06	down	TRUE
7	STAT3_KO	30	up	FALSE
7	STAT3_KO	3.30952474367982e-66	down	TRUE
8	STAT3_KO	29.9999999664192	up	FALSE
8	STAT3_KO	3.35887168966985e-08	down	TRUE
9	STAT3_KO	29.7265465020305	up	FALSE
9	STAT3_KO	0.273477879929599	down	FALSE
10	STAT3_KO	27.0609438699444	up	FALSE
10	STAT3_KO	2.93923655521759	down	FALSE
11	STAT3_KO	29.9578594743039	up	FALSE
11	STAT3_KO	0.0421453561113984	down	TRUE
12	STAT3_KO	0.00373166464180202	up	TRUE
12	STAT3_KO	29.9962688748904	down	FALSE
13	STAT3_KO	5.72097409718775	up	FALSE
13	STAT3_KO	24.2793576383008	down	FALSE
14	STAT3_KO	8.94610048535388	up	FALSE
14	STAT3_KO	21.054419872015	down	FALSE
15	STAT3_KO	13.699786133837	up	FALSE
15	STAT3_KO	16.3009891322383	down	FALSE
