Ortholog	LFQ.intensity.p01	LFQ.intensity.p02	LFQ.intensity.p03	LFQ.intensity.p04	LFQ.intensity.p05	LFQ.intensity.p06	LFQ.intensity.p07	LFQ.intensity.p08	LFQ.intensity.p09	LFQ.intensity.p10	LFQ.intensity.p11	LFQ.intensity.p12	LFQ.intensity.p13	LFQ.intensity.p14	LFQ.intensity.p15
ENSG00000000419	996450	1140200	0	943220	0	0	0	0	642220	0	0	0	708680	934160	0
ENSG00000000971	9485700	1079000	6334000	4063500	1855300	536410	1250500	520880	796020	689360	120540	0	0	0	0
ENSG00000001084	0	0	0	221710	0	453090	709040	0	0	684930	527210	946100	0	0	566660
ENSG00000001561	0	0	0	0	0	454120	0	651710	0	595840	0	0	0	0	0
ENSG00000001630	0	546130	332580	0	0	0	0	434540	0	601370	1140600	1186800	939750	1161300	2187800
ENSG00000002549	10601000	13651000	12348000	12553000	11895000	12166000	13955000	10074000	11503000	11570000	6259200	7630600	7184300	6786500	7072000
ENSG00000002834	3493000	3173900	6736800	5071900	7732900	6224600	8808700	7234100	6492800	9653800	6527900	7234300	5944300	5950900	5213000
ENSG00000003056	0	0	0	0	0	1277300	0	0	2306900	0	0	0	0	0	0
ENSG00000004059	5686200	6350300	5463300	4736800	3848500	5432700	4150200	5368400	5510200	6742000	3873700	7112300	7448700	8146700	4538800
ENSG00000004139	0	0	0	0	0	0	0	0	0	0	247060	0	191460	0	0
ENSG00000004468	0	0	1739200	0	0	595050	1508600	511140	0	0	657330	829830	0	0	0
ENSG00000004478	1201000	1462900	1778000	1608700	1005700	1473600	2125800	1495800	1540000	730450	911100	1256700	1385900	964450	1305500
ENSG00000004660	0	0	0	258960	0	0	0	220090	0	214830	428560	289020	210590	546740	693170
ENSG00000004766	0	0	0	0	0	0	0	360220	0	0	461630	0	0	427590	432590
ENSG00000004776	689280	683370	848660	0	0	1776400	0	1579600	0	0	1824800	1719600	1635000	0	0
ENSG00000004779	0	0	0	0	0	2907600	0	0	0	0	1934400	0	1273800	0	1784800
ENSG00000004939	1087600	0	1213100	364850	412180	0	0	0	0	445290	1083000	0	0	402320	2065600
ENSG00000005022	107710000	120470000	90665000	98675000	112770000	112140000	120890000	110000000	117940000	145200000	128320000	168590000	124330000	127280000	163910000
ENSG00000005194	745730	1288100	816470	0	0	1074600	1291800	1125800	0	1376700	1437400	1621800	1773400	2153500	0
ENSG00000005249	0	1067300	1171200	1006500	1105600	0	1195600	1488800	1619300	0	1122800	1313200	0	0	1323500
ENSG00000005844	717420	584390	484110	524170	553880	330370	0	373850	0	981950	0	0	0	0	0
ENSG00000005961	0	849460	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006125	13663000	18658000	18193000	17967000	16140000	17832000	17203000	16981000	18839000	16250000	19039000	18523000	16801000	18255000	20137000
ENSG00000006451	7454000	4778400	8313600	8725500	7506200	13073000	10493000	8369100	9100100	14344000	14895000	3794700	22376000	24192000	18872000
ENSG00000006740	0	0	0	0	0	322960	315760	333950	0	0	950130	751570	551490	851720	604680
ENSG00000006747	22145000	21604000	21749000	23374000	18343000	19237000	14039000	18477000	11935000	6865500	2054500	1985700	2996600	2237500	1007800
ENSG00000007080	0	1008700	1104900	816890	0	1028900	0	1207600	1198400	0	1263400	1221400	1211900	1565200	2099700
ENSG00000007168	6075000	8342700	6877400	8413500	10530000	8546000	8754000	8527700	9084800	8238000	7983900	9248900	7996800	9580800	9096900
ENSG00000007264	1366300	1170500	1059300	965120	1679200	1013700	1244500	875080	923050	842480	687670	983470	677370	988250	878360
ENSG00000007392	1560500	1506000	1467500	1779900	1791300	1340400	1445700	1215900	1340200	1314400	518320	1757700	1171900	1280400	1180200
ENSG00000008018	4539400	4046500	6423500	0	5094700	4708900	0	0	6719600	5065900	5313200	6818900	6315400	4641600	5368500
ENSG00000008056	1229600	2927900	3124100	5095300	4530500	9935200	9949200	8657800	11460000	13428000	21274000	26747000	19934000	24952000	28624000
ENSG00000008282	3997100	2733400	1389300	2961600	0	4894400	4747200	2922100	2812700	2045500	4768600	3375500	2150700	8048400	6399600
ENSG00000008294	953210	1273900	922720	1086400	0	0	0	1301200	1334900	1009500	1307700	1059000	865790	2144500	926970
ENSG00000008394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453460
ENSG00000008952	1558000	1433600	1555700	0	1137400	0	0	1543600	0	1305000	1097900	0	0	1190700	0
ENSG00000008988	13557000	13164000	14007000	14536000	10669000	10652000	11152000	7576700	13796000	11951000	9801400	13531000	7748900	8732500	7650200
ENSG00000009307	1188200	950050	0	1001400	929150	1384700	1444000	958760	1165200	1093600	1057700	1286500	1285900	1466200	1435300
ENSG00000009335	728390	0	0	0	0	791410	1083300	0	0	611380	0	0	444250	0	833330
