UniProt	Ensembl
P35213	ENSRNOG00000010945
P62260	ENSRNOG00000005290
P68511	ENSRNOG00000055471
P61983	ENSRNOG00000001436
P68255	ENSRNOG00000051650
P63102	ENSRNOG00000008195
Q4QQT4	ENSRNOG00000010922
P36876	ENSRNOG00000011158
P36877	ENSRNOG00000018851
Q62878	ENSRNOG00000019441
Q91Y80	ENSRNOG00000052391
P29266	ENSRNOG00000008063
Q62622	ENSRNOG00000012582
P28564	ENSRNOG00000013042
P28565	ENSRNOG00000012038
P14842	ENSRNOG00000010063
P35563	ENSRNOG00000006595
P35364	ENSRNOG00000007066
P35365	ENSRNOG00000002549
P31388	ENSRNOG00000049761
P32305	ENSRNOG00000018827
P32305	ENSRNOG00000055705
Q6AYP7	ENSRNOG00000016475
D3Z9R8	ENSRNOG00000032130
D3Z9R8	ENSRNOG00000031802
P53369	ENSRNOG00000001260
Q3T1L0	ENSRNOG00000020623
Q9EPH1	ENSRNOG00000004692
Q63041	ENSRNOG00000006709
P06238	ENSRNOG00000028896
P06238	ENSRNOG00000045772
A0A4Z3	ENSRNOG00000005935
Q9JI93	ENSRNOG00000009736
P08592	ENSRNOG00000006997
P25099	ENSRNOG00000003442
P30543	ENSRNOG00000001302
P28647	ENSRNOG00000015788
P28647	ENSRNOG00000050743
Q9JMI1	ENSRNOG00000000967
Q64602	ENSRNOG00000011861
Q9R0Z7	ENSRNOG00000008424
P80386	ENSRNOG00000001142
P80385	ENSRNOG00000061499
P54645	ENSRNOG00000012799
Q91ZF7	ENSRNOG00000004708
Q5XI97	ENSRNOG00000020658
P13221	ENSRNOG00000016356
Q9QYW0	ENSRNOG00000002778
P00507	ENSRNOG00000011782
Q5XIJ5	ENSRNOG00000018212
Q6AY17	ENSRNOG00000012514
Q8CF82	ENSRNOG00000004378
E9PU17	ENSRNOG00000039656
O70595	ENSRNOG00000018697
Q5RKI8	ENSRNOG00000008557
Q09429	ENSRNOG00000021130
P16970	ENSRNOG00000011929
Q6MG08	ENSRNOG00000000799
Q66H39	ENSRNOG00000001710
Q80W57	ENSRNOG00000007041
Q99PE7	ENSRNOG00000005250
P58428	ENSRNOG00000005420
Q6AYT7	ENSRNOG00000036934
P38483	ENSRNOG00000015411
Q6AXX9	ENSRNOG00000028089
Q5RK23	ENSRNOG00000025689
Q6QA69	ENSRNOG00000000221
Q5XI64	ENSRNOG00000008167
Q5I0K5	ENSRNOG00000043107
Q5I0K5	ENSRNOG00000054334
Q5I0C4	ENSRNOG00000011936
Q6DGG1	ENSRNOG00000012073
Q5XIL6	ENSRNOG00000015067
